A_bog_W19_172_ign_00042	RUT25926.1	100.000	192	0	0	150	1	12	61	1.18e-27	107	RUT25926.1 hypothetical protein C0V97_08795 [Asaia sp. W19]
A_bog_W19_195_ign_00038	RDI37824.1	51.961	206	39	2	254	559	46	137	7.15e-26	81.6	RDI37824.1 hypothetical protein C7453_105233 [Gluconacetobacter liquefaciens]
A_bog_W19_195_ign_00038	TCS28470.1	63.636	200	44	0	429	67	66	186	2.94e-24	108	TCS28470.1 hypothetical protein EDC31_10858 [Acidomonas methanolica]
A_bog_W19_195_ign_00038	EGG74953.1	65.714	496	23	3	433	146	2	102	6.11e-23	110	EGG74953.1 Putative alpha/beta hydrolase [Gluconacetobacter sp. SXCC-1]
A_bog_W19_195_ign_00038	CAP57124.1	70.690	190	16	1	256	83	92	148	3.47e-22	72.0	CAP57124.1 conserved protein [Gluconacetobacter diazotrophicus PA1 5]
A_bog_W19_195_ign_00038	GJE71659.1	57.265	222	48	2	143	487	66	182	9.58e-22	102	GJE71659.1 hypothetical protein CHKEEEPN_3206 [Methylorubrum podarium]
A_bog_W19_195_ign_00038	AEQ52018.1	59.000	192	36	2	454	155	82	176	2.13e-21	100	AEQ52018.1 hypothetical protein KKY_2008 [Pelagibacterium halotolerans B2]
A_bog_W19_195_ign_00038	TWA86655.1	77.273	223	14	1	346	149	141	205	1.45e-18	94.0	TWA86655.1 hypothetical protein FBZ83_102449 [Azospirillum brasilense]
A_bog_W19_195_ign_00038	SFM65625.1	51.639	216	37	3	448	149	54	175	2.98e-18	93.2	SFM65625.1 hypothetical protein SAMN05216573_103263 [Bradyrhizobium sp. Rc3b]
A_bog_W19_195_ign_00038	SBW14268.1	52.885	170	41	2	355	65	26	128	2.87e-17	89.4	SBW14268.1 hypothetical protein BR10RB9215_C11094 [Brucella sp. 10RB9215]
A_bog_W19_195_ign_00038	SCD23690.1	52.885	177	41	2	355	65	26	128	3.61e-17	89.4	SCD23690.1 hypothetical protein BR141012304_11271 [Brucella inopinata]
A_bog_W19_195_ign_00038	PPR18972.1	72.464	413	18	1	355	149	33	100	1.16e-16	92.0	PPR18972.1 hypothetical protein CFH37_00138 [Alphaproteobacteria bacterium MarineAlpha9_Bin7]
